path,ext,bytes,modified_utc,sha256
Cover_Letter_IJAA_v16.docx,.docx,31082,2026-08-05 21:31:00,a0440f0aee00f7f6a8e574690b3b22682c4c83e34cffd29eabcf1061196a96cf
Cover_Letter_IJAA_v16.pdf,.pdf,74957,2026-08-05 21:31:07,409a96f62c4a0bf219f7621c7d2011c444d2806771614a1145711159f721fc0c
Figures/Figure_1_fig_pta_vs_mic_single_column.png,.png,149110,2026-08-03 20:38:52,3fe81aa6c12477c52615044a90fd236f6338d89276b77d21cc3f83237b4cd9f2
Figures/Figure_2_fig_avi_threshold.png,.png,187849,2026-08-02 20:07:29,aa6d2d90f8d0668eae7190fbc627b39c11e1fc7ea7fffbbfbad5d6c0921cf420
Figures/Figure_3_fig_avi_evidence.png,.png,164841,2026-08-02 23:11:06,eb00ab7beebe4972c0c1c4d5b02f124b1d09d5ff06a4718e9884c0a92912202c
Figures/Figure_4_fig_lung_penetration_icu_updated.png,.png,92014,2026-08-04 16:47:45,511eaf1fd950822eec735427626c8e7a97c04506b6e91402fa632905ce76db20
Figures/Figure_5_fig_individualised_dose_redesigned.png,.png,151686,2026-08-04 14:51:08,b668b96364d4d79dac03b132139f013d0f1c04c9b020cf62dd63462577558d8d
Figures/Figure_6_fig_second_assay_redesigned.png,.png,181602,2026-08-04 15:01:32,7efb182d238a62cc4ac77fd1942a466d3ec3ba69d2db0ef1b853a9dcaad45399
Graphical_Abstract_IJAA_Perspective_v21_300dpi_Print.pdf,.pdf,12652774,2026-08-05 19:03:22,f18d155d1fa71acb3c1e2aa3beb9c498a3dbb6670d0665c8840c38cfc3f39844
Graphical_Abstract_IJAA_Perspective_v21_300dpi_Print.png,.png,5925800,2026-08-05 19:03:17,be7babbe55bc1037de9c805bd77a054208106d91a2a2d074ffc362b6e955a597
Highlights_IJAA.docx,.docx,37521,2026-08-05 18:01:17,c34046f674e6f4da8e7591a69fe088c5f2654b94afc235944f286a382ac2527a
Highlights_IJAA.pdf,.pdf,120787,2026-08-05 21:31:51,195dc5d6e8ffb088f6afd639c2addd7d40a8f1d7d76b357c11d28114a86c7d21
IJAA-S-26-02124_3.pdf,.pdf,15168957,2026-08-11 14:16:05,3b8e3c4b63093b68c83add58c5f2d6f06b77f89e34c29800b1af4fa4c7fe4e25
Piranfar_CAZ-AVI_IJAA_Original_Article_v17.docx,.docx,974574,2026-08-11 14:07:39,b4ed762bde5c93777e73c38e8e6d0761d57641f36f84fad4222fba6b5ffd1e55
Piranfar_CAZ-AVI_IJAA_Original_Article_v17.pdf,.pdf,1056369,2026-08-11 14:08:27,6e704ac22d063b0fab1163821799c219d02ddaca8b2cca2d9e8fd09007f3aabf
Submission_Checklist_IJAA_v16.md,.md,809,2026-08-05 18:01:17,ae039447e9b60ceb0020204e85801f7315276013322daf752b6752c6e028ffe9
Supplementary_Tables_S1-S21_v13.xlsx,.xlsx,70406,2026-08-04 18:43:58,958d49265a9852144183fe3b33b23cd69559cef65f49965bf502035f6077e106
Tables_IJAA.docx,.docx,35467,2026-08-05 21:26:46,ed249eeda9a2a92971e16f6a0d3b0fc2579d76dd2b5b7fb4943bad8ba3a13a9d
revision_support/NARRATIVE_v8_DRAFT.md,.md,24354,2026-08-03 00:59:18,95eff2f0b34db6fdc7a87a605f4f0206fb664c8501f6dd808cdec115da2e8854
revision_support/REVIEWER_RESPONSE.md,.md,2041,2026-08-02 20:09:09,3a2f1042df0594ca2f7fd5ce4cb621073ac79174b9c059fd3944fe1e291f3b88
revision_support/TRACK_A_REDLINE.md,.md,10757,2026-08-02 14:46:43,1f7629db2edabcc2f148c6a711e1e60de283d61fe893cef7bd9c836c0e6183fc
revision_support/TRACK_B_CHANGELOG.md,.md,1608,2026-08-02 15:02:40,8857040fabc0ebb6fae7c2a9d782a45f652e9a359a0e57ef89c3cd71f4b65e4e
revision_support/TRACK_B_DRAFT.md,.md,21352,2026-08-02 14:54:58,ba71f719df7d342b65711e54fe80ea7f826796b62b08b10479e81c2b89aba299
revision_support/VERIFICATION_REPORT.md,.md,5433,2026-08-02 14:33:15,338a059bbe4e7940b1f1d5535c40f5464965bd2a87cbc68d25879aaefeb0e8ef
